Artist_Name,Birth_Year,Turnover,Sold Lots,Highest Price
"2x4, Inc.",1994,,,
A&E Design,1968,,,
A. F. Gangkofner,1921,,,
A. G. Fronzoni,1923,,,
A. Michael Noll,1939,,,
A.K. Burns,1975,,,
A.L. Steiner,1967,,,
A.R. Penck (Ralf Winkler),1939,,,
Ã˜ivind Resch,1961,,,
"â€¦XYZ Dot Dot Dot Ex Why Zed Design, Ltd.",2000,,,
Ã…ke Sandgren,1955,,,
Ã‰dgar Negret,1920,,,
Ã‰douard Boubat,1923,,,
Ã‰douard Molinaro,1928,,,
Ã‰ric Chahi,1967,,,
Ã‰va KÃ©meny,1929,,,
Ãlvaro Barrios,1945,,,
Ãlvaro Siza,1933,,,
AA Bronson,1946,,,
Aaron Curry,1972,,,
Aaron Fink,1955,,,
Aaron Johnson,1975,,,
Aaron Morse,1974,,,
Aaron Young,1972,,,
"Abalos&Herreros, Madrid",1984,,,
Abbas Kiarostami,1940,,,
Abby Leigh,1948,,,
Abderrahmane Sissako,1961,,,
Abdul Mati Klarwein,1932,,,
Abe Frajndlich,1946,,,
Abe Levitow,1922,,,
Abel Auer,1974,,,
Abel Barroso,1971,,,
Abel Ferrara,1951,,,
Abelardo Morell,1948,,,
Abigail Child,1948,,,
Abigail Perlmutter,1950,,,
Abou Farman,1966,,,
Abraham Cruzvillegas,1968,,,
Abraham Palatnik,1928,,,
"Acconci Studio, New York",1988,,,
Accra Shepp,1962,,,
Acharya Vyakul,1930,,,
Achille Perilli,1927,,,
Achilles Droungas,1940,,,
Achim Duchow,1948,,,
"Acordis Industrial Fibers, The Netherlands",1999,,,
Ad Dekkers,1938,,,
Ada Louise Huxtable,1921,,,
Ada Tolla,1964,,,
AdÃ£o Pinheiro,1938,,,
"Adachi Shiki Kogyo Co., Ltd.",1942,,,
Adam Ant (Stuart Leslie Goddard),1954,,,
Adam Bartos,1953,,,
Adam Broomberg,1970,,,
Adam Bujak,1940,,,
Adam Dant,1967,,,
Adam Fuss,1961,,,
Adam Guzinski,1970,,,
Adam Helms,1974,,,
Adam Khalil,1988,,,
Adam McEwen,1965,,,
Adam McKay,1968,,,
Adam Pendleton,1984,517931,4,225000
Adam Saltsman,1982,,,
Adam Shankman,1964,,,
Adam Thorpe,1969,,,
Adam Yarinsky,1962,,,
Adele RÃ¶der,1980,,,
Adelle Lutz,1948,,,
Ademar Manarini,1920,,,
Adi Rosenblum,1962,,,
Ado Sato,1936,,,
Adolf Benca,1959,,,
Adolf Born,1930,,,
Adolfo Natalini,1941,,,
Adoor Gopalakrishnan,1941,,,
AdriÃ¡n Villar Rojas,1980,,,
Adriaan Geuze,1960,,,
Adrian Paci,1969,,,
Adrian Piper,1948,,,
Adrian Wiszniewski,1958,,,
Adriana Salazar,1983,,,
AEDS Ammar Eloueini Digit-all Studio,1997,,,
Aernout Mik,1962,,,
Aesthetics + Computation Group,1996,,,
Afra Scarpa,1937,,,
Agam (Yaacov Agam),1928,,,
AgnÃ¨s Varda,1928,,,
Agnes Denes,1931,,,
AgustÃ­n FernÃ¡ndez,1928,,,
AgustÃ­n HernÃ¡ndez Navarro,1924,,,
Ahmed Imamovic,1971,,,
Ahmed Yacoubi,1928,,,
Ai Weiwei,1957,3702757,46,1029700
Aijiro Wakita,1942,,,
Aimaro Oreglia d'Isola,1928,,,
"Airstream, Inc.",1931,,,
Aki KaurismÃ¤ki,1957,,,
Akihiko Kotani,1957,,,
Akihiko Tsukamoto,1952,,,
Akihiro Kaneko,1961,,,
Akihisa Hirata,1971,,,
Akira Inada,1949,,,
Akira Kurosaki,1937,,,
Akira Matsumoto,1936,,,
Akira Yasuda,1964,,,
Akram Zaatari,1966,,,
AktuÃ¡lnÃ­ umÄ•ni,1964,,,
Al Corchia,1935,,,
Al Hansen,1927,,,
Al Held,1928,,,
