Artist_Name,Turnover,Sold Lots,Highest Price,Top_500_Rank
Jean-Michel BASQUIAT,"$256,098,080 ",125,"$45,315,000 ",1
Peter DOIG,"$100,958,125 ",45,"$21,127,500 ",2
Rudolf STINGEL,"$52,389,232 ",27,"$7,938,905 ",3
George CONDO,"$49,248,967 ",100,"$6,162,500 ",4
CHEN Yifei,"$47,201,867 ",18,"$22,640,280 ",5
Christopher WOOL,"$45,494,087 ",47,"$14,472,784 ",6
ZHOU Chunya,"$43,642,957 ",60,"$6,743,740 ",7
Jeff KOONS,"$40,792,093 ",149,"$22,812,500 ",8
Mark BRADFORD,"$40,152,432 ",11,"$11,979,851 ",9
Kerry James MARSHALL,"$38,601,625 ",14,"$21,114,500 ",10
Yoshitomo NARA,"$35,070,152 ",339,"$2,932,574 ",11
Damien HIRST,"$29,230,253 ",328,"$4,412,500 ",12
Richard PRINCE,"$28,540,215 ",55,"$3,255,000 ",13
Cecily BROWN,"$27,271,037 ",27,"$6,776,200 ",14
Keith HARING,"$24,331,489 ",419,"$4,212,500 ",15
ZHANG Xiaogang,"$22,445,666 ",29,"$6,211,340 ",16
ZENG Fanzhi,"$20,282,825 ",32,"$3,134,808 ",17
Antony GORMLEY,"$19,467,079 ",71,"$6,911,977 ",18
Takashi MURAKAMI,"$18,363,658 ",457,"$8,826,036 ",19
Martin KIPPENBERGER,"$18,199,379 ",34,"$11,096,876 ",20
LIU Wei,"$16,769,392 ",24,"$4,534,985 ",21
KAWS,"$15,316,727 ",363,"$1,259,927 ",22
Anselm KIEFER,"$15,211,978 ",43,"$2,595,457 ",23
Mark TANSEY,"$15,073,311 ",10,"$7,453,600 ",24
Jonas WOOD,"$14,116,103 ",36,"$2,292,500 ",25
Albert OEHLEN,"$13,670,448 ",30,"$2,678,011 ",26
QIU Hanqiao,"$13,577,606 ",14,"$5,751,438 ",27
Hurvin ANDERSON,"$12,502,579 ",17,"$3,456,804 ",28
Marlene DUMAS,"$12,339,092 ",65,"$3,615,000 ",29
Adrian GHENIE,"$11,228,881 ",19,"$3,143,587 ",30
Anish KAPOOR,"$11,200,128 ",53,"$1,515,000 ",31
Günther FRÖG,"$10,838,045 ",192,"$727,956 ",32
Wolfgang TILLMANS,"$10,215,274 ",81,"$720,597 ",33
BANKSY,"$9,898,703 ",478,"$928,765 ",34
Mark GROTJAHN,"$9,744,810 ",18,"$1,815,000 ",35
Thomas SCHTTE,"$8,883,570 ",19,"$3,511,715 ",36
Andreas GURSKY,"$8,271,034 ",33,"$2,204,263 ",37
Sean SCULLY,"$7,427,785 ",49,"$1,588,365 ",38
Robert GOBER,"$7,416,750 ",5,"$7,287,500 ",39
YUE Minjun,"$7,199,870 ",49,"$2,484,536 ",40
AI Xuan,"$7,165,019 ",25,"$3,762,296 ",41
